;;Beschï¿½ftigte
;;2015=100
1994;Januar;155
1994;Dezember;163.3
1995;Januar;168.9
;Dezember;171
1996;Januar;169.8
1996;Dezember;169.2
1997;Januar;167.6
1997;Dezember;Hundertfünfundsechzig
1998;Januar;165
1998;Dezember;166.2
19099;Januar;146.5
1999;Dezember;137.2
2000;Januar;132.8
2000;Dezember;129.9
2001;Januar;124.9
2001;Dezember;124.3
2002;Januar;120.5
2002;Dezember;117.4
2003;;114.2
2003;Dezember;114.4
2004;Januar;113.9
2004;Dezember;110.9
2005;Januar;108.3
2005;Dezember;107.1
2006;Januar;103.6
2006;Dezember;102.9
2007;Januar;105.3
2007;Dezember;105.6
2008;Januar;102.3
2008;Dezember;102.2
209;Januar;100.6
2009;Dezember;100.4
2010;Januar;95.9
2010;Dezember;96.9
2011;;90.3
2011;Dezember;98.4
2012;Januar;97.5
2012;Dezember;100.7
2013;Januar;99.3
2013;Dezember;100.2
2014;Januar;100.3
2014;Dezember;101.4
;Januar;97.6
2015;Dezember;101.3
2016;Januar;99.8
2016;Dezember;101.5
2017;Januar;NaN
2017;Dezember;103.9
2018;Januar;102.8
2018;Dezember;102.9
2019;Januar;102.6
2019;Dezember;104.9
2020;Januar;103.8
2020;Dezember;102.4
2021;Januar;100.5
2021;Dezember;
2022;Januar;98
2022;Dezember;97.2
2023;Januar;96.7
2023;Dezember;98.5
2024;Januar;96.2
